,area,est_total,moe_total,rank,total_lb,total_ub,rank_lb,rank_ub,region
0,California,17418097,38689,1,17345187.63829787,17491006.36170213,1,1,West
1,Texas,12644017,38490,2,12571482.65349544,12716551.34650456,2,2,South
2,Florida,9011991,38376,3,8939671.486322189,9084310.513677811,3,4,South
3,New York,8889715,29292,4,8834514.270516718,8944915.729483282,3,4,Northeast
4,Illinois,5872993,22893,5,5829851.176291794,5916134.823708206,5,6,Midwest
5,Pennsylvania,5820681,20688,6,5781694.49544073,5859667.50455927,5,6,Northeast
6,Ohio,5281107,22772,7,5238193.200607902,5324020.799392098,7,7,Midwest
7,Georgia,4602079,25874,8,4553319.486322189,4650838.513677811,8,9,South
8,North Carolina,4565929,26224,9,4516509.911854103,4615348.088145897,8,9,South
9,Michigan,4425851,19024,10,4390000.300911854,4461701.699088146,10,10,Midwest
10,New Jersey,4192357,20594,11,4153547.638297872,4231166.361702127,11,11,Northeast
11,Virginia,3984237,21788,12,3943177.547112462,4025296.452887538,12,12,South
12,Washington,3420932,21213,13,3380956.133738602,3460907.866261398,13,14,West
13,Massachusetts,3370418,17274,14,3337865.17325228,3402970.82674772,13,14,Northeast
14,Indiana,3052737,18710,15,3017478.0334346504,3087995.9665653496,15,15,Midwest
15,Arizona,2959893,20660,16,2920959.261398176,2998826.738601824,16,18,West
16,Tennessee,2945982,20904,17,2906588.4437689967,2985375.5562310033,16,18,South
17,Maryland,2907451,17841,18,2873829.662613982,2941072.337386018,16,18,South
18,Wisconsin,2814056,13009,19,2789540.5592705165,2838571.4407294835,19,19,Midwest
19,Missouri,2752472,14905,20,2724383.550151976,2780560.449848024,20,22,Midwest
20,Minnesota,2745161,13115,21,2720445.802431611,2769876.197568389,20,22,Midwest
21,Colorado,2709692,19073,22,2673748.960486322,2745635.039513678,20,22,West
22,South Carolina,2188433,17552,23,2155356.282674772,2221509.717325228,23,23,South
23,Louisiana,1927047,18467,24,1892245.9665653496,1961848.0334346504,24,25,South
24,Kentucky,1885194,14934,25,1857050.8996960486,1913337.1003039514,24,26,South
25,Oregon,1845718,14713,26,1817991.3738601825,1873444.6261398175,25,26,West
26,Oklahoma,1703612,10616,27,1683606.1641337385,1723617.8358662615,27,28,South
27,Connecticut,1691500,13527,28,1666008.3890577508,1716991.6109422492,27,28,Northeast
28,Iowa,1507414,11050,29,1486590.291793313,1528237.708206687,29,29,Midwest
29,Utah,1409910,10168,30,1390748.4194528875,1429071.5805471125,30,30,West
30,Nevada,1367374,12089,31,1344592.2978723405,1390155.7021276595,31,32,West
31,Kansas,1366384,10653,32,1346308.4376899695,1386459.5623100305,31,32,Midwest
32,Arkansas,1252384,12566,33,1228703.3920972645,1276064.6079027355,33,33,South
33,Mississippi,1185383,11983,34,1162801.0547112462,1207964.9452887538,34,34,South
34,Puerto Rico,958406,13448,35,933063.2644376899,983748.7355623101,35,36,
35,Nebraska,935958,8462,36,920011.3738601824,951904.6261398176,35,36,Midwest
36,New Mexico,830408,9910,37,811732.6200607903,849083.3799392097,37,37,West
37,Idaho,745182,8967,38,728283.7021276596,762080.2978723404,38,38,West
38,West Virginia,702534,9738,39,684182.7537993921,720885.2462006079,39,40,South
39,Hawaii,669546,7920,40,654620.7720364742,684471.2279635258,39,41,West
40,New Hampshire,664999,7768,41,650360.2158054712,679637.7841945288,40,41,Northeast
41,Maine,626294,6936,42,613223.1185410335,639364.8814589665,42,42,Northeast
42,Rhode Island,500700,7940,43,485737.0820668693,515662.9179331307,43,44,Northeast
43,Montana,477201,7200,44,463632.61094224924,490769.38905775076,43,44,West
44,Delaware,426968,7141,45,413510.79635258357,440425.20364741643,45,46,South
45,South Dakota,420447,6224,46,408717.8814589666,432176.1185410334,45,46,Midwest
46,North Dakota,383794,5907,47,372662.2674772036,394925.7325227964,47,47,Midwest
47,District of Columbia,355056,6301,48,343181.77507598785,366930.22492401215,48,49,South
48,Alaska,336665,4982,49,327276.4285714286,346053.5714285714,48,49,West
49,Vermont,300134,4854,50,290986.6443768997,309281.3556231003,50,50,Northeast
50,Wyoming,266881,4500,51,258400.75683890577,275361.2431610942,51,51,West
